function;execution_times
application_handler.visualization_handler.visualize();49,4,3,1,1,1,1,1,1,22,0,1,1,1,1,1,1,3,2,2,1,1,1,2,0,0,0,1,0,0,2,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
application_handler.simulation_handler.simulate();61,58,56,61,61,61,60,60,61,54,58,57,60,61,57,54,54,53,53,50,50,47,53,51,52,50,52,51,50,49,42,46,48,50,51,48,49,48,49,47,44,48,47,47,45,49,48,46,49,46,44,43,48,48,48,50,50,52,48,48,51,50,50,47,48,53,45,56,59,50,60,59,55,59,56,59,59,65,67,65,67,66,59,60,61,63,63,74,65,69,69,65,65,74,66,61,62,61,62,56,61,59,61,60,57,62,57,59,62,58,63,54,53,54,51,49,49,50,52,49,49,47,47,47,45,47,43,46,50,48,45,51,47,45,42,45,45,45,42,44,43,43,46,42,44,43,43,44,45,45,44,42,47,47,51,42,44,43,43,46,42,40,40,43,46,42,47,45,46,42,42,43,42,46,47,44,41,42,47,45,44,47,43,41,43,42,43,49,44,46,47,44,42,46,44,43,47,46,46,48,45,46,43,47,47,47,46,52,50,45,51,51,53,47,53,52,47,53,55,47,50,51,56,46,49,50,48,49,49,54,53,51,48,48,45,48,49,45,48,47,45,50,48,42,41,42,47,43,42,48,41,40,41,40,42,42,43,50,41,45,45,43,40,41,41,42,44,40,42,40,44,42,41,40,42,40,43,43,45,45,42,43,42,44,45,47,48,47,46,47,45,47,49,46,49,49,45,46,48,47,53,51,48,48,46,54,54,45,55,52,49,52,53,53,51,45,54,51,47,48,51,53,48,47,46,46,50,45,50,49,47,44,47,44,42,42,46,46,43,45,42,44,40,43,42,43,48,46,43,44,43,44,44,45,45,43,43,46,42,47,48,45,43,47,41,47,48,46,44,49,51,48,45,51,47,50,45,50,44,55,51,51,46,45,45,52,50,46,52,51,52,44,48,48,44,45,46,48,46,44,43,46,45,44,43,47,44,42,42,46,46,47,44,46,46,43,42,45,42,43,44,44,45,42,45,42,44,41,44,46,44,41,44,44,43,44,45,43,42,40,41,44,41,43,44,46,45,42,42,46,46,49,45,45,47,49,50,49,49,49,43,47,52,45,50,53,52,47,55,47,53,47,57,50,50,55,50,48,54,49,52,50,52,49,47,53,47,50,52,45,48,46,44,46,45,44,48,43,48,47,46,43,43,47,46,44,47,46,44,47,41,45,43,42,48,41,46,43,46,45,46,42,42,42,44,42,48,46,41,41,46,46,45,45,48,49,44,49,44,43,44,46,43,47,50,43,45,47,50,53,55,49,48,51,50,46,47,53,51,50,52,53,50,47,53,53,53,54,48,50,48,50,52,47,46,51,50,48,45,43,45,47,45,44,50,49,50,42,49,42,49,49,45,44,43,47,45,41,42,44,45,41,41,44,43,44,45,43,41,40,39,42,42,39,42,40,44,45,44,41,40,44,44,43,42,43,44,46,44,45,41,46,47,44,47,43,47,50,44,48,45,45,49,48,47,46,47,49,50,54,53,50,46,49,49,55,48,56,55,51,48,49,52,56,55,47,46,54,50,48,47,51,46,47,45,46,46,50,46,45,44,50,42,45,49,43,46,44,46,47,44,48,46,43,43,43,43,42,43,43,44,44,45,44,43,42,46,41,45,45,48,42,44,46,50,48,46,48,44,51,44,43,45,45,44,45,49,50,53,48,49,51,45,48,50,49,49,53,49,53,54,46,55,48,46,47,53,53,46,48,46,46,47,45,53,50,46,49,46,53,46,45,51,46,47,48,48,49,43,51,44,43,46,44,42,43,43,44,43,44,43,43,45,41,41,44,42,41,45
this->parallel_for(&Particle_System::calculate_verlet_step_brute_force, this->number_of_particles);0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
this->parallel_for(&Particle_System::calculate_acceleration_brute_force, this->number_of_particles);38,31,32,35,33,34,35,35,34,32,34,31,35,34,31,32,32,31,29,23,27,23,29,29,28,27,26,29,27,28,21,25,26,28,28,25,26,26,27,24,21,27,25,25,23,25,25,26,25,26,25,24,27,25,27,25,27,27,27,27,28,27,25,23,24,30,24,31,32,29,33,33,33,35,33,34,34,37,39,40,40,40,31,31,31,39,39,43,42,39,42,42,41,43,42,36,36,38,37,33,34,32,38,37,34,34,32,33,38,35,37,30,29,33,27,28,28,27,31,26,26,26,24,25,26,24,24,27,28,28,23,29,25,23,23,23,24,22,22,22,22,22,25,23,25,22,22,22,23,25,23,22,25,26,26,22,22,21,22,26,22,21,22,24,25,22,25,25,26,22,22,23,22,24,25,22,22,22,27,25,23,25,22,22,22,22,22,27,22,27,25,23,23,24,23,22,27,22,26,28,23,25,24,24,24,24,24,29,28,25,29,29,29,25,30,30,25,30,30,25,30,30,31,26,26,26,26,26,27,30,30,28,25,25,25,25,25,24,24,24,24,28,28,23,23,23,26,22,22,26,22,22,22,22,22,21,21,27,22,24,24,21,21,21,21,21,23,22,21,21,23,22,22,22,22,22,22,22,23,25,22,23,22,22,25,25,25,25,27,26,24,27,27,25,28,28,24,25,25,25,31,30,25,25,26,31,31,25,31,31,25,30,31,30,30,25,30,30,25,24,29,29,24,28,24,27,27,23,27,27,27,23,26,22,22,22,26,26,22,23,22,22,22,22,22,22,27,25,22,22,22,26,25,22,25,22,23,25,22,27,25,22,23,26,23,27,27,27,23,27,28,28,24,28,24,28,24,28,25,31,29,29,25,25,25,30,29,25,29,29,29,25,28,26,24,24,24,28,24,24,24,27,24,23,24,25,23,23,23,26,24,26,22,25,25,22,21,24,22,24,24,24,25,22,24,21,24,21,24,25,24,21,24,24,23,24,23,21,21,21,21,25,21,22,24,25,25,22,22,26,26,26,23,23,27,27,27,28,28,28,24,25,29,25,28,30,31,26,31,26,28,26,33,27,27,32,26,26,33,26,28,26,31,26,25,30,25,29,29,25,25,25,24,24,24,23,26,23,27,26,26,23,23,25,26,26,25,25,26,26,22,25,23,22,25,22,25,22,25,25,25,22,22,22,23,22,26,25,22,22,26,26,23,23,26,27,23,27,23,23,24,24,24,24,29,24,25,25,30,30,30,25,25,31,25,25,26,31,26,26,32,31,26,26,32,32,31,31,25,26,25,31,30,25,25,30,30,25,25,24,24,24,24,24,28,28,28,23,27,23,27,27,26,22,22,25,25,22,22,24,25,21,21,24,21,24,24,25,21,21,21,24,22,21,24,22,24,24,24,21,21,24,24,23,22,22,22,25,25,25,23,25,26,23,25,23,26,27,23,27,24,24,27,29,25,26,26,26,25,30,31,28,26,26,26,32,27,33,32,26,28,26,31,31,31,26,25,31,31,25,25,30,25,26,25,25,24,29,24,24,24,28,23,23,28,23,27,23,27,26,23,26,26,23,22,22,22,22,22,22,23,23,26,25,22,22,26,22,26,26,27,23,23,24,27,26,28,27,24,28,24,24,24,24,24,25,25,30,30,25,25,31,26,26,26,25,26,31,28,30,32,26,32,26,26,26,31,31,25,26,25,25,25,25,29,28,25,29,25,29,24,24,29,24,24,24,28,28,24,27,23,23,24,23,23,22,22,23,22,22,22,22,24,21,21,24,22,21,26
this->parallel_for(&Particle_System::calculate_density_pressure_brute_force, this->number_of_particles);23,26,24,25,26,26,25,25,26,22,23,25,24,26,26,22,21,22,24,26,22,23,23,21,23,22,25,20,22,21,20,20,21,22,22,22,22,21,21,22,22,21,22,21,21,23,22,19,23,19,19,19,21,22,21,25,23,24,21,20,22,22,24,24,23,22,20,23,26,20,26,25,21,24,22,24,24,27,27,24,26,26,27,29,30,24,24,30,22,30,26,23,23,29,23,25,25,22,25,23,26,26,22,22,23,27,25,25,24,22,25,24,24,20,23,21,20,22,20,22,22,21,22,21,19,22,18,18,21,20,21,21,21,21,19,22,21,22,19,21,20,21,20,18,18,20,21,21,21,20,20,19,21,21,24,19,21,21,20,19,19,18,18,18,20,19,22,19,20,20,20,19,19,21,21,21,19,19,20,20,20,21,20,18,20,19,19,21,21,18,21,21,18,22,21,21,20,23,20,19,21,21,19,23,23,23,21,22,21,20,22,21,23,22,22,22,22,22,24,21,19,21,24,20,22,23,22,22,21,23,23,22,22,22,19,22,23,21,23,23,21,22,20,18,18,18,20,20,19,21,18,18,18,18,20,20,21,22,19,20,20,21,19,19,19,20,20,18,19,18,20,19,18,18,19,18,20,20,21,20,19,20,19,21,19,21,22,21,19,21,21,20,21,19,21,21,21,20,23,22,21,20,22,22,19,22,22,19,23,21,23,21,22,22,20,20,24,21,22,23,22,24,23,18,22,18,22,21,22,21,19,21,21,21,19,19,19,19,20,21,20,21,18,20,20,20,20,20,21,21,20,18,18,22,20,20,19,20,20,19,22,22,20,20,18,19,21,19,20,21,23,20,21,22,22,21,20,22,19,23,21,21,21,19,19,21,20,20,22,21,23,19,20,21,19,20,21,19,21,20,19,18,20,20,18,21,20,19,18,20,22,21,22,20,20,21,20,20,20,18,19,19,20,20,21,21,20,19,20,20,20,19,20,19,19,20,21,21,20,18,19,19,19,20,19,20,20,20,20,19,19,22,21,21,19,21,22,21,21,21,19,21,22,20,22,22,21,21,23,20,24,20,23,23,22,23,23,21,21,22,23,23,20,23,21,21,22,20,21,20,23,20,20,21,21,20,22,20,20,20,19,20,20,21,19,18,21,20,18,21,19,20,19,19,23,18,20,20,20,19,20,20,20,20,21,19,21,20,18,18,20,19,21,21,21,21,21,21,20,19,20,21,19,22,20,19,20,22,20,23,24,24,22,19,24,20,20,21,24,23,19,21,24,21,21,21,21,23,22,23,22,19,21,21,21,21,20,22,19,19,20,22,20,20,21,20,21,18,21,18,22,21,18,21,20,21,19,19,20,20,20,19,19,19,21,19,20,18,19,18,18,18,19,17,17,18,19,20,19,19,18,19,19,19,20,21,21,20,19,19,18,20,20,21,21,20,20,22,20,21,20,20,21,19,21,19,20,23,24,23,22,22,19,22,22,22,21,22,23,24,20,22,20,23,23,21,20,23,19,22,21,20,20,21,19,21,21,21,21,20,19,21,19,21,21,19,18,20,19,20,21,21,19,20,20,20,20,18,20,20,20,20,19,18,20,19,19,18,18,18,21,19,20,22,22,21,18,21,20,22,19,19,20,20,19,19,23,20,22,22,22,20,19,21,24,23,22,21,21,22,21,19,23,21,19,20,22,21,20,22,20,20,21,20,23,20,20,19,21,23,21,20,22,21,22,23,19,21,18,23,21,19,21,21,18,20,20,20,20,21,20,21,20,18,19,20,19,19,18
