function;execution_times
application_handler.simulation_handler.simulate();41,36,36,40,42,48,41,41,41,38,43,40,40,39,40,38,39,41,35,36,33,37,35,34,33,33,28,26,25,25,28,22,22,22,21,24,21,22,23,20,20,20,18,18,19,19,20,22,24,17,19,17,16,17,16,16,16,17,19,17,18,17,19,19,21,24,21,21,22,26,25,26,26,26,29,28,34,32,38,42,42,43,42,38,42,44,44,44,45,46,46,46,45,51,52,44,49,48,51,54,54,52,49,47,44,46,45,48,41,42,40,38,38,36,36,38,37,35,32,34,31,31,29,31,29,27,28,28,29,28,28,27,27,27,25,25,25,26,28,25,25,25,22,23,24,26,25,24,23,23,22,23,20,20,19,20,19,18,20,20,18,19,19,19,20,19,19,20,21,19,20,18,19,19,19,19,19,20,20,22,21,20,21,19,21,21,20,21,21,22,21,20,21,23,23,26,23,22,23,23,24,24,25,26,26,27,28,28,29,29,30,31,31,31,32,32,32,31,29,29,27,30,27,28,28,28,28,28,26,25,27,25,24,22,22,24,21,24,22,22,21,20,20,20,19,18,18,17,16,16,15,15,16,18,15,15,14,14,14,13,14,14,14,13,13,14,14,13,14,14,14,15,14,15,14,14,16,16,17,16,17,17,18,17,18,19,20,19,20,19,25,19,20,26,26,24,23,27,24,30,23,29,28,23,22,23,26,26,26,27,23,22,23,22,22,24,24,21,22,22,21,21,21,22,19,19,19,18,19,19,19,18,19,18,17,18,17,17,17,18,18,17,18,17,17,19,17,18,18,17,17,17,18,17,17,18,19,19,19,18,19,20,20,21,22,21,24,23,21,23,22,23,24,23,23,24,23,26,24,25,24,23,25,23,24,22,23,23,22,22,22,21,22,20,22,21,21,21,20,21,18,20,19,20,21,19,18,17,19,18,18,17,16,16,15,15,15,14,15,14,13,13,14,14,13,12,14,13,13,13,13,13,14,14,15,13,14,14,13,14,14,15,15,17,15,18,18,20,18,20,20,20,21,22,23,23,21,24,22,26,27,27,28,29,30,30,32,31,32,30,32,30,30,31,30,30,30,30,29,29,28,29,28,27,28,26,26,27,26,25,26,24,23,22,25,24,23,23,22,22,23,22,24,23,21,22,20,23,22,21,19,19,22,20,21,21,22,22,19,22,22,20,21,21,24,22,25,25,23,22,23,24,23,23,26,26,25,26,26,26,27,26,26,26,26,26,26,26,27,27,27,28,27,27,27,27,27,27,27,26,26,25,25,25,25,25,24,24,24,23,23,23,23,22,22,22,22,21,22,22,22,21,26,20,21,21,21,22,20,19,19,21,19,18,17,17,17,15,16,15,15,15,15,14,13,14,12,15,15,13,13,13,14,13,14,16,13,18,15,13,15,15,14,18,16,16,15,17,17,17,20,21,21,22,22,22,22,24,24,25,26,27,27,28,28,30,29,30,31,31,29,28,28,28,28,28,29,30,27,27,30,31,32,31,26,32,30,32,30,30,31,25,25,24,30,26,26,25,27,27,24,26,27,22,25,25,25,23,21,22,22,20,21,20,22,22,22,20,20,22,21,22,22,22,21,21,19,22,20,23,22,21,23,23,22,23,22,25,26,22,30,23,29,30,32,30,30,29,29,31,29,30,29,29,29,29,29,30,29,28,30,29,29,25,29,28,29,28,28,24,26,27,22,26,28,25,26,26,21,21,21,20,19,23,20,23,22,18,20,19,17,18,16,19,16,19,18,17,18,17,14,15,15,14,14,15,14,15,16,13,14,16,14,15,14,14,14,16,16,16,16,15,16,16,17,16,16,17,20,19,17,20,20,18,21,22,19,22,24,26,25,25,25,29,28,30,24,32,30,31,32,32,34,35,32,33,32,32,31,31,31,32,31,31,27,25,31,25,27,29,27,28,28,26,27,25,23,26,26,26,23,26,22,25,25,24,21,20,21,22,21,23,20,22,19,21,21,22,20,23,22,22,20,19,21,21,19,21,19,19,24,20,20,22,20,22,23,23,23,23,23,23,25,24,24,24,24,25,26,25,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,24,24,24,24,24,23,23,23,23,22,22,22,22,22,21,21,21,20,19,22,21,20,19,18,18,21,18,19,18,16,17,16,17,14,15,15,14,14,14,15,13,14,13,15,13,13,14,15,14,15,13,16,16,15,16,14,16,16,16,17,16,17,19,20,20,17,20,20,25,21,21,23,24,23,24,25,27,28,26,28,27,28,30,30,31,31,30,31,30,27,27,30,30,31,29,30,27,29,29,29,25,31,31,26,30,28,24,25,24,26,26,26,25,23,22,23,25,23,25,25,21,21,21,20,23,21,19,21,20,23,21,19,19,19,21,21,21,21,19,21,21,20,21,21,21,23,22,22,23,26,24,27,32
application_handler.visualization_handler.visualize();65,6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,9,10,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,10,1,1,1,1,1,10,10,1,1,1,9,11,1,1,1,1,1,1,17,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,2,2,9,10,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,10,10,1,18,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5
this->parallel_for_grid(&Particle_System::calculate_verlet_step_spatial_grid);0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
this->parallel_for_grid(&Particle_System::calculate_acceleration_spatial_grid);25,20,23,24,29,29,25,26,26,23,27,23,23,23,24,23,24,25,20,19,19,23,20,19,19,19,17,16,15,14,17,14,12,11,13,14,13,12,13,10,12,12,10,11,12,11,12,14,12,9,9,9,10,10,9,9,9,10,11,10,10,10,13,11,13,14,13,12,13,17,15,17,16,15,18,18,22,19,23,26,27,30,28,22,26,28,28,27,29,28,31,30,29,31,32,29,31,29,29,32,33,30,32,28,28,28,25,31,25,23,25,21,23,22,22,23,23,23,19,22,18,18,18,18,18,18,19,18,17,18,18,17,16,16,16,16,15,17,17,15,15,14,14,14,14,15,15,15,14,13,13,14,13,12,12,12,12,11,12,11,11,12,12,12,12,12,11,12,12,11,12,11,12,12,11,12,11,12,12,13,12,12,13,12,12,13,13,13,13,14,13,12,13,13,13,18,13,14,14,14,15,15,15,16,16,17,17,18,18,18,19,19,20,20,20,20,20,19,19,17,17,17,17,18,17,18,18,18,16,16,18,15,14,14,14,16,13,14,13,14,12,11,11,12,12,11,12,11,9,10,9,9,9,11,9,9,8,9,8,8,8,8,8,8,8,8,8,8,8,9,8,9,8,9,8,8,10,10,10,9,11,10,11,10,11,11,13,11,12,11,15,12,12,17,17,13,14,18,14,19,14,19,19,14,14,14,18,18,18,18,13,13,13,13,13,16,16,13,13,14,14,13,13,13,12,12,12,11,12,11,11,11,11,11,11,10,10,11,10,11,11,11,11,10,11,11,10,11,11,11,11,11,11,11,11,11,11,12,11,11,11,12,13,13,13,12,16,12,12,13,14,14,14,14,14,14,14,15,14,15,14,15,15,15,14,14,14,14,13,13,13,14,13,13,12,12,12,12,12,13,11,12,12,13,13,12,12,10,11,11,11,10,10,9,9,10,9,9,9,8,8,8,8,8,7,7,8,8,8,8,7,8,8,8,8,8,7,9,7,8,8,10,9,10,9,11,11,12,10,12,12,13,14,13,15,15,13,13,14,18,18,15,19,19,19,20,20,20,21,20,20,20,18,20,20,19,19,19,19,19,16,18,18,17,17,17,17,17,16,16,16,14,13,14,16,14,14,14,13,13,14,13,14,13,13,13,11,14,14,11,11,11,14,11,13,11,14,14,12,14,12,12,13,12,15,13,16,16,14,14,14,14,14,14,16,16,14,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,15,15,15,15,15,14,14,14,14,14,13,13,14,13,13,13,17,12,13,13,12,14,12,12,13,12,12,10,10,10,10,9,10,9,9,9,9,9,7,9,7,9,9,7,8,8,8,8,8,10,8,10,8,8,8,8,8,11,9,9,9,9,10,10,13,13,13,14,14,14,15,15,16,16,17,17,18,18,18,19,19,19,21,21,17,17,17,17,17,17,17,17,17,17,18,21,21,21,16,20,20,20,20,20,19,15,15,15,19,16,16,16,17,17,15,16,16,13,16,14,16,14,13,14,14,12,12,12,14,14,12,12,12,13,14,14,14,14,12,12,12,14,12,14,14,13,15,14,14,14,13,15,16,14,19,14,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,15,19,19,19,18,18,14,17,17,14,17,17,17,17,17,13,12,12,12,12,16,13,15,13,11,13,12,10,11,10,11,10,11,11,11,11,10,8,10,9,9,8,9,9,9,10,8,9,10,8,8,8,8,8,10,9,10,9,9,10,10,10,9,9,10,12,11,11,13,13,11,14,14,11,14,15,16,16,17,17,18,19,19,14,20,18,21,21,22,22,22,22,22,21,21,21,21,21,21,20,20,16,15,19,16,15,18,18,17,17,17,17,16,13,16,15,15,14,15,14,16,14,15,13,13,12,12,13,14,12,14,12,12,12,14,12,14,13,13,12,11,13,13,11,13,12,11,14,12,12,13,12,12,12,13,13,14,14,14,15,14,14,15,15,15,16,16,16,16,16,16,16,16,16,17,17,16,16,16,16,16,16,16,15,15,15,15,15,15,14,14,14,14,14,14,13,14,13,13,14,12,12,14,12,12,12,11,11,14,11,12,11,10,10,10,10,8,9,9,8,8,8,9,8,8,8,9,7,8,8,9,9,9,8,9,10,9,10,9,9,10,10,10,10,11,11,12,12,10,12,13,16,14,14,14,15,15,16,16,17,17,15,18,18,19,19,20,20,20,20,20,20,17,17,20,20,20,19,20,16,17,19,19,15,19,19,15,20,19,14,15,15,16,15,17,17,14,14,14,15,13,15,15,13,12,13,12,13,14,12,12,12,14,13,12,12,12,12,14,13,13,11,13,12,12,13,13,13,13,13,14,14,15,15,18,21
this->parallel_for_grid(&Particle_System::calculate_density_pressure_spatial_grid);15,15,12,15,11,18,16,14,15,14,15,16,16,15,15,14,15,15,14,15,13,13,14,14,12,13,11,9,9,9,9,8,9,10,7,8,7,9,9,9,7,7,7,7,6,7,7,7,10,7,8,7,5,6,6,6,6,6,7,6,7,6,5,7,7,8,8,8,9,8,9,8,9,10,9,9,11,11,14,14,15,12,14,14,14,15,15,16,15,17,14,15,15,18,19,14,17,19,21,21,20,22,17,17,15,17,19,16,15,18,14,16,14,12,13,14,14,11,11,12,12,11,10,11,10,9,8,9,11,9,10,9,10,10,8,8,9,8,10,10,9,10,8,8,9,10,9,8,8,8,8,8,6,6,6,7,6,6,7,7,6,6,6,6,7,6,7,7,8,7,7,6,5,6,6,7,7,6,7,8,8,7,7,6,8,7,6,7,7,8,6,7,7,9,9,7,9,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,11,9,10,9,11,9,9,9,10,9,10,9,9,8,9,9,7,7,7,7,9,8,7,7,7,7,7,6,6,6,5,6,5,5,5,6,6,6,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,6,6,6,6,6,6,7,7,9,7,7,9,8,9,8,8,10,10,8,9,8,8,8,8,7,8,7,8,9,8,8,8,8,7,7,7,8,7,7,7,7,8,7,6,7,6,6,7,7,6,7,7,5,6,6,6,5,6,6,6,6,6,5,7,5,6,7,5,5,5,6,6,6,6,7,7,8,6,7,7,7,7,8,8,7,10,8,9,8,8,9,8,8,10,8,10,9,10,9,8,10,7,9,8,8,8,8,7,8,7,8,7,8,8,8,8,7,7,6,8,6,6,7,6,6,6,6,5,5,6,5,6,5,5,5,4,6,4,4,5,4,5,5,4,5,4,4,4,4,4,5,5,5,4,5,4,5,5,5,5,5,6,5,6,6,7,7,7,7,6,6,8,7,7,7,9,7,8,9,11,9,9,10,10,11,9,10,9,11,9,11,10,9,9,10,11,9,9,10,10,9,9,10,8,8,10,8,8,9,9,9,8,9,10,8,8,8,8,8,8,9,9,7,8,8,8,7,9,7,7,7,8,7,9,7,7,7,7,9,7,7,7,8,8,8,8,9,8,8,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,8,8,7,7,7,8,7,7,7,5,7,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,5,5,4,4,4,5,4,5,5,5,7,6,5,6,6,5,6,6,6,5,6,6,6,6,7,7,7,7,7,6,8,8,8,8,8,8,9,9,11,9,9,10,9,10,9,9,9,9,9,11,11,9,9,11,10,10,9,9,10,9,11,9,9,10,9,9,8,9,9,9,9,8,9,8,8,10,8,8,10,8,9,7,7,7,7,8,7,7,7,8,7,7,7,7,7,7,7,8,8,7,7,7,9,7,7,7,9,7,8,8,9,9,8,10,8,9,10,12,9,10,9,9,11,9,9,9,9,9,9,9,10,9,8,9,9,9,9,9,9,9,8,8,9,8,8,7,8,10,7,8,9,8,8,8,7,7,7,7,7,7,6,6,6,6,6,5,7,6,7,6,6,7,7,5,5,5,5,5,5,5,5,5,4,5,5,5,6,5,5,4,5,6,5,6,5,5,5,7,5,6,5,7,7,5,7,7,7,7,7,7,7,8,9,8,7,7,10,9,11,9,12,11,10,9,10,12,12,9,10,10,10,10,10,10,10,10,10,10,9,11,9,11,10,9,10,10,8,9,8,8,10,10,9,9,10,8,8,10,8,7,7,8,9,8,8,7,7,7,7,8,7,7,8,8,7,7,7,7,7,7,7,7,7,9,7,7,8,7,8,9,9,10,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,7,7,7,6,6,6,6,6,6,6,5,6,5,6,5,5,5,5,5,5,5,4,5,4,5,4,4,5,5,5,5,4,6,6,5,5,5,5,5,5,5,5,5,7,7,7,7,6,7,8,7,7,8,9,7,7,8,9,10,10,9,8,9,10,9,10,9,9,9,9,9,9,9,9,10,9,9,10,11,9,9,9,10,10,10,9,8,9,9,9,9,10,8,8,8,8,8,8,9,9,9,7,8,8,7,8,7,7,8,7,8,7,7,7,7,8,7,7,7,7,7,8,7,7,7,7,9,7,7,8,9,8,8,11
