function;execution_times
application_handler.simulation_handler.simulate();94,99,94,104,106,90,88,85,94,91,83,81,72,76,84,74,70,72,67,69,69,68,67,73,65,58,63,59,55,53,49,48,46,45,48,45,41,47,39,37,37,43,36,34,34,35,32,33,37,33,29,29,29,28,29,28,27,27,27,29,26,30,27,31,29,31,30,31,33,32,32,34,35,36,37,36,39,42,39,46,44,44,48,48,51,49,50,53,69,69,74,64,75,76,71,78,78,78,81,86,88,95,92,101,103,107,108,112,117,113,117,119,115,121,130,129,131,126,132,120,127,122,123,118,129,130,129,136,126,126,129,115,116,118,108,117,110,112,113,111,107,104,99,102,100,97,95,98,90,86,84,88,96,85,86,88,83,89,78,78,77,80,77,83,72,73,72,82,67,76,69,65,69,76,66,69,65,66,68,60,66,60,69,58,63,60,59,57,59,55,55,57,55,55,56,53,51,54,50,52,51,49,48,50,50,48,48,47,47,51,52,46,46,44,46,44,46,47,46,43,42,43,44,49,43,47,43,44,44,45,46,46,44,47,45,46,51,46,48,47,48,48,50,48,55,53,51,53,57,53,52,55,55,62,56,58,58,62,64,59,60,64,68,69,68,65,76,66,72,75,69,77,76,70,70,77,75,77,74,77,79,86,80,80,79,84,82,83,88,82,80,81,87,83,84,85,89,79,92,86,93,89,87,82,85,93,90,83,88,87,89,92,94,91,90,89,86,92,92,93,89,92,85,85,90,89,94,92,99,96,89,95,88,92,89,94,97,91,82,85,88,82,83,88,86,75,79,77,76,70,73,73,70,67,67,66,65,65,66,58,64,65,58,58,63,65,57,56,60,56,57,56,56,50,58,55,51,49,48,48,47,48,50,47,46,45,43,44,44,46,44,43,43,44,42,42,42,43,42,41,41,39,40,42,41,40,41,40,42,39,41,39,40,40,40,41,43,45,43,44,41,42,43,43,46,44,45,45,48,50,49,48,49,50,52,58,52,57,55,58,59,61,63,61,63,70,66,70,78,73,72,72,78,72,74,78,76,80,81,82,86,86,90,90,94,91,91,94,88,95,94,94,97,104,94,105,99,97,102,100,103,100,100,102,109,98,106,108,106,112,111,112,115,108,109,104,102,105,101,101,107,103,101,104,103,105,100,97,97,96,98,95,100,93,92,96,90,90,91,87,90,83,91,90,80,80,79,78,79,76,80,72,70,71,74,68,68,71,67,76,62,64,62,64,67,63,58,60,59,59,58,58,61,60,55,55,52,62,53,52,52,55,54,50,56,54,53,48,47,46,46,48,46,45,44,46,44,45,44,43,43,42,40,39,40,43,39,40,38,38,39,38,38,38,39,39,38,37,37,41,38,40,41,42,38,39,40,44,40,42,44,44,49,42,40,44,46,47,49,50,50,53,52,54,57,55,58,59,59,59,62,66,64,65,67,66,65,68,76,79,76,79,75,76,76,89,81,83,90,91,93,88,89,92,89,102,106,98,101,104,101,104,105,109,113,114,109,104,107,110,108,112,110,115,116,118,106,117,112,116,112,105,113,124,113,117,114,104,105,106,103,101,98,102,98,105,94,92,94,101,90,91,89,94,85,84,91,83,88,84,82,77,78,78,77,76,76,70,71,75,74,68,67,69,65,67,62,68,63,69,64,59,63,57,61,59,57,58,64,62,55,55,54,57,51,52,51,52,52,53,50,49,50,49,48,48,46,47,46,46,45,48,48,45,52,44,46,47,43,45,41,42,41,43,41,41,41,43,42,47,43,43,42,45,43,47,44,45,49,50,44,46,47,47,55,49,49,51,50,53,52,53,61,54,56,58,58,64,60,67,60,61,62,65,65,71,68,71,72,76,75
application_handler.visualization_handler.visualize();51,8,2,1,1,1,1,0,1,20,1,2,2,1,1,0,0,1,0,0,1,0,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,1,0,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,2,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,2,1,0,1,1,1,1,0,1,1,1,2,2,1,1,1,1,2,0,1,1,2,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,1,1,0,1,1,0,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,0,1,1,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,4
this->parallel_for_grid(&Particle_System::calculate_verlet_step_spatial_grid);0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
this->parallel_for_grid(&Particle_System::calculate_acceleration_spatial_grid);58,60,57,65,60,53,53,49,57,54,52,50,42,46,51,46,43,44,39,38,42,42,39,48,38,34,35,32,33,32,30,29,27,27,26,25,24,31,23,22,21,25,21,20,20,21,18,19,21,18,18,18,17,17,17,16,16,16,16,16,16,20,16,19,17,17,18,19,19,20,18,20,21,22,23,20,24,26,22,28,28,26,29,31,30,29,31,33,43,45,46,40,49,49,44,50,48,48,49,54,56,58,60,65,64,66,68,69,70,72,74,74,71,74,87,80,81,81,81,76,82,76,80,69,83,83,84,87,80,82,78,72,74,74,66,72,68,69,67,72,65,64,62,64,60,59,59,57,55,52,50,49,62,53,53,54,50,52,48,43,43,46,48,49,43,42,44,49,40,45,41,38,42,48,38,38,37,38,40,35,40,35,41,34,39,36,35,32,35,32,33,33,32,31,34,30,30,31,30,30,31,29,28,31,31,29,29,29,27,32,30,27,26,27,28,27,27,28,29,27,25,26,27,32,26,25,25,25,26,27,27,28,26,29,27,27,30,30,29,29,29,29,30,30,34,32,30,30,35,30,31,34,34,37,35,35,35,36,38,37,37,39,42,43,44,41,51,40,46,47,41,47,48,43,42,45,44,47,46,45,46,53,50,48,48,51,50,50,54,49,49,50,52,50,50,50,56,49,54,52,61,56,54,50,54,56,53,50,55,53,51,54,55,57,51,56,54,58,58,58,55,53,52,51,58,55,60,57,65,56,56,61,55,60,54,60,64,51,52,50,52,48,53,58,58,44,49,48,47,45,44,44,42,41,40,38,39,37,39,33,38,42,35,34,39,38,33,33,34,32,33,32,31,27,36,32,29,28,29,29,28,28,30,28,27,25,25,25,25,28,26,25,24,25,24,24,23,24,24,24,24,22,24,24,24,24,25,23,25,23,25,23,24,24,24,24,27,26,26,26,25,25,26,26,28,26,27,27,30,31,31,29,30,29,31,36,31,33,32,34,36,38,38,37,39,40,41,42,47,46,46,45,48,44,46,51,47,48,51,51,54,51,55,56,57,57,57,58,53,59,59,60,61,66,61,62,60,60,63,63,60,63,63,63,69,61,64,63,63,71,68,69,69,69,68,63,62,61,60,61,66,60,61,65,61,64,61,59,58,59,59,57,58,56,55,60,55,54,52,53,57,50,54,54,48,48,47,46,46,45,50,43,42,42,43,40,38,42,38,44,37,38,36,37,42,36,34,35,34,34,33,33,38,37,32,32,31,35,30,30,30,34,33,28,34,32,33,29,27,27,27,29,26,26,25,28,25,25,26,24,24,25,23,23,23,23,22,23,23,22,24,22,23,22,22,24,22,22,22,26,23,24,25,24,21,23,22,24,22,24,26,26,29,25,24,27,27,29,28,29,29,32,32,31,33,33,33,34,34,35,38,40,40,40,41,39,39,40,43,47,48,49,44,45,46,52,48,49,51,52,53,53,54,56,55,63,65,59,57,63,62,62,61,68,69,63,62,64,63,68,66,70,67,70,71,73,64,71,68,69,65,63,65,76,67,69,70,64,62,62,61,60,59,61,59,66,57,57,54,62,56,54,54,58,53,49,51,49,51,47,46,46,47,47,45,44,46,41,42,47,48,41,41,39,38,41,36,41,40,44,40,34,38,34,33,34,32,32,39,37,31,31,31,30,30,31,29,31,30,33,31,28,29,28,27,28,27,27,27,26,26,29,29,26,32,25,25,27,25,28,24,24,24,24,24,24,24,25,25,30,25,25,25,25,25,29,26,26,30,32,26,27,27,28,32,29,29,30,30,31,30,31,37,33,33,34,34,40,36,40,36,38,37,38,39,43,42,43,43,46,44
this->parallel_for_grid(&Particle_System::calculate_density_pressure_spatial_grid);35,38,36,38,45,36,34,34,36,35,31,30,29,29,32,27,26,27,27,30,26,25,27,24,25,22,27,25,21,19,18,18,17,17,20,18,16,15,15,14,14,17,14,13,13,12,12,13,14,14,10,10,11,10,11,10,9,9,9,11,9,9,9,10,10,12,11,11,13,11,13,13,12,12,12,14,13,14,15,16,15,16,17,16,19,19,18,19,24,22,26,22,25,26,25,26,28,29,31,31,31,36,31,35,38,40,39,41,45,40,42,44,42,46,42,48,49,43,49,43,44,44,41,48,45,45,44,48,44,43,50,42,40,43,41,44,41,42,45,37,41,39,36,37,39,37,35,40,34,33,32,38,32,31,31,32,32,36,29,34,32,33,29,33,28,30,27,32,26,30,26,26,26,27,27,30,26,27,27,24,25,24,27,22,23,23,23,23,23,22,21,22,22,23,20,21,20,22,19,21,19,18,18,18,17,17,17,17,18,17,21,18,18,16,16,16,17,18,15,15,16,15,16,15,16,20,16,18,17,17,18,17,17,17,17,17,19,15,18,17,18,18,19,17,19,19,19,22,21,21,20,19,20,23,20,21,22,24,24,21,22,24,25,25,23,23,24,24,25,27,26,29,27,25,26,31,30,29,27,30,31,32,29,31,30,32,30,32,33,32,30,30,34,32,33,33,32,29,37,32,31,31,32,32,30,36,36,32,32,33,37,37,38,33,38,32,31,33,33,34,32,37,32,33,31,33,33,33,33,38,32,32,31,31,34,33,32,38,29,34,35,33,29,29,27,30,29,28,28,23,28,27,27,25,26,27,25,27,26,23,26,22,22,22,23,25,23,22,25,23,22,23,24,22,20,21,21,19,18,18,18,19,19,18,18,18,17,18,18,16,18,17,18,18,17,16,17,17,17,15,16,15,15,17,15,15,15,16,15,15,15,15,15,15,15,16,15,17,15,17,15,16,15,16,17,17,17,17,17,18,18,18,18,20,20,20,20,23,22,23,21,22,23,22,23,28,23,27,30,25,24,26,28,26,27,25,28,31,28,30,31,34,33,33,36,32,32,34,34,35,33,32,35,37,32,42,37,36,38,35,42,36,36,38,39,36,41,43,42,40,42,42,45,38,39,40,39,43,39,39,39,41,39,38,40,39,38,37,38,36,38,37,40,36,36,35,34,34,38,33,32,32,35,35,30,31,31,31,31,30,28,27,27,28,30,27,29,27,27,30,24,25,25,26,24,26,23,24,23,24,24,24,22,21,21,22,20,26,22,20,21,20,19,21,20,20,19,18,19,18,18,18,18,18,17,17,18,19,17,18,18,15,15,15,15,19,15,16,15,14,14,15,14,14,16,14,14,14,14,14,14,15,15,16,16,15,16,18,17,17,17,16,18,16,14,16,18,17,19,19,19,20,18,22,22,21,24,24,23,22,22,25,23,24,24,26,24,26,31,31,27,29,30,29,29,35,31,32,37,39,39,34,34,35,33,38,40,37,43,39,38,41,43,40,43,49,46,39,43,41,41,41,42,44,44,44,40,44,43,46,46,41,47,47,44,46,43,39,42,42,41,39,38,40,38,38,36,34,39,37,33,35,35,34,31,34,38,33,36,36,35,30,30,29,31,30,28,28,27,26,25,26,25,29,26,24,24,26,22,23,23,23,24,22,26,23,24,24,23,23,23,22,21,26,20,20,21,20,20,19,19,20,20,20,19,19,18,18,18,18,17,18,18,17,18,17,19,18,16,17,16,16,16,17,16,15,16,17,15,16,16,16,16,18,16,17,17,17,18,17,17,17,18,18,22,18,19,19,19,20,20,21,22,20,21,22,22,22,23,26,22,22,24,25,24,26,24,26,28,29,29
