function;execution_times
application_handler.visualization_handler.visualize();48,7,2,1,1,1,2,0,21,2,2,2,2,3,1,2,1,2,3,2,1,1,2,3,1,1,1,2,2,2,1,1,2,2,1,1,1,2,2,1,1,2,2,3,1,1,1,2,2,1,2,1,2,2,1,1,1,2,3,1,1,1,2,2,1,1,1,2,3,1,1,1,3,3,1,1,2,3,1,1,2,3,2,1,3,3,2,1,2,3,1,2,4,5,1,3,3,2,2,3,1,2,2,2,1,1,2,3,1,3,17,1,1,0,1,4,2,1,2,3,1,1,2,3,1,1,1,3,1,2,2,3,2,2,1,3,3,1,1,1,2,2,1,2,1,2,2,1,1,1,3,3,1,2,1,2,2,2,1,1,3,2,1,1,1,2,2,1,1,1,2,3,1,1,1,2,2,1,2,1,1,3,2,1,1,2,3,1,1,1,2,3,2,1,1,2,2,1,1,2,2,3,2,1,2,3,2,1,3,2,1,1,2,2,1,2,2,2,1,1,2,2,1,1,2,3,1,1,2,3,2,1,1,3,1,1,2,3,1,1,1,2,2,1,1,1,2,3,1,2,1,2,2,1,1,1,2,3,1,1,1,2,2,1,1,1,2,2,1,2,1,2,3,2,1,1,2,2,1,1,1,2,2,1,1,1,2,2,2,1,1,2,2,1,2,1,2,2,2,2,3,3,1,1,2,2,1,1,2,3,1,1,1,3,1,1,2,3,5
application_handler.simulation_handler.simulate();257,257,257,258,258,257,257,256,255,254,254,250,248,247,245,243,242,240,239,237,235,234,232,230,228,227,225,223,222,220,219,217,216,215,213,212,212,211,210,209,208,208,207,207,206,206,206,206,206,206,206,207,207,208,208,209,211,212,213,215,216,218,220,223,225,228,230,233,236,240,244,247,251,255,259,263,268,273,277,282,287,292,296,301,305,310,314,318,321,324,326,329,332,335,336,336,336,336,333,331,330,328,327,324,321,319,315,312,311,304,300,297,292,288,284,279,276,272,269,267,264,261,259,257,255,255,254,252,248,247,245,244,243,242,241,240,238,237,237,236,235,234,233,232,231,230,230,229,229,228,228,227,227,226,226,226,226,226,225,225,225,225,225,225,225,225,225,225,226,226,226,226,226,227,227,227,228,228,228,229,229,230,230,231,232,232,233,234,234,235,236,237,238,238,239,240,241,243,243,245,246,247,248,249,250,251,253,254,255,256,257,259,260,261,262,262,263,263,264,264,264,264,264,263,263,262,261,260,259,258,257,255,254,253,251,250,248,247,245,244,242,240,239,237,235,233,231,230,228,230,225,223,222,221,219,218,217,217,216,215,215,214,214,214,214,213,213,214,214,214,214,215,215,216,216,217,218,218,219,220,221,222,223,224,226,227,229,230,232,233,235,237,239,241,243,245,247,249,251,254,256,258,259,260,262,262,262,262,261,260,260,259,258,257,256,255,254,253,252
this->parallel_for(&Particle_System::calculate_verlet_step_brute_force, this->number_of_particles);0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
this->parallel_for(&Particle_System::calculate_acceleration_brute_force, this->number_of_particles);149,149,149,149,149,149,149,148,148,146,147,144,142,141,140,139,137,136,135,134,132,131,130,128,127,126,124,123,122,121,120,119,118,117,116,115,114,114,113,113,112,112,111,111,111,110,110,110,110,110,110,111,111,111,112,113,113,114,115,116,118,119,121,122,124,126,128,130,133,135,138,140,143,146,149,153,156,160,163,166,170,174,177,180,184,187,190,193,195,197,199,201,204,205,206,206,206,206,204,203,202,200,199,197,195,193,190,188,187,182,179,177,173,170,167,164,161,158,156,154,152,150,149,147,146,146,144,143,141,140,139,138,137,136,135,135,134,133,132,132,131,130,130,129,128,128,127,127,126,126,126,125,125,125,125,125,124,124,124,124,124,124,124,124,124,124,124,124,124,124,125,125,125,125,125,125,126,126,126,127,127,127,128,128,129,129,130,130,131,131,132,132,133,134,134,135,136,137,137,138,139,140,140,141,142,143,144,145,146,147,148,149,149,150,151,151,152,152,152,152,152,152,152,152,151,151,150,150,149,148,147,146,145,144,143,142,141,140,139,137,136,135,134,132,131,130,129,127,126,125,124,122,121,121,120,119,118,118,117,117,116,116,116,115,115,115,115,116,116,116,116,116,117,117,117,118,118,119,120,120,121,122,122,123,124,125,127,127,129,130,131,132,134,135,137,138,140,141,143,145,146,148,149,150,151,151,151,151,150,150,149,148,148,147,147,146,145,144,143
this->parallel_for(&Particle_System::calculate_density_pressure_brute_force, this->number_of_particles);107,107,107,108,108,107,107,107,107,107,106,106,105,105,104,104,104,103,103,103,102,102,101,101,101,100,100,99,99,99,98,98,98,97,97,97,96,96,96,96,96,96,95,95,95,95,95,95,95,95,95,95,96,96,96,96,96,97,97,97,98,98,99,100,100,101,102,102,103,104,105,106,107,108,109,110,111,113,114,115,116,117,119,120,121,122,123,124,125,126,126,127,127,129,130,130,129,129,129,128,128,127,127,126,126,125,124,123,123,121,120,120,118,117,116,115,114,113,112,112,111,110,110,109,108,109,108,108,107,106,106,106,105,105,105,105,104,104,104,103,103,103,103,102,102,102,102,102,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,102,102,102,102,102,102,102,103,103,103,103,103,104,104,104,104,105,105,105,105,106,106,106,107,107,107,107,108,108,109,109,109,110,110,110,110,110,110,111,111,111,111,111,111,111,111,110,110,110,110,109,109,109,108,108,108,107,107,106,106,105,105,105,104,104,103,103,102,102,101,105,100,100,100,99,99,99,98,98,98,98,98,98,98,97,98,97,97,97,98,98,98,98,98,98,98,98,99,99,99,99,100,100,100,100,101,101,101,102,102,103,103,104,104,105,105,106,106,107,108,108,109,109,110,110,110,110,111,110,110,110,110,110,110,109,109,109,108,108,108
