function;execution_times
application_handler.visualization_handler.visualize();62,9,12,11,5,6,11,7,7,6,5,7,8,8,7,9,17,5,9,7,9,6,9,8,6,6,8,8,9,9,6,13,9,9,6,11,9,13,5,7,11,8,9,6,8,6,8,5,8,6,9,7,8,8,15,10,7,8,9,9,5,12,8,4,5,7,12,5,11,9,8,9,9,6,6,10
application_handler.simulation_handler.simulate();1234,1240,1241,1239,1239,1239,1237,1233,1228,1224,1221,1216,1210,1206,1202,1199,1193,1189,1188,1178,1173,1167,1162,1158,1154,1151,1147,1143,1140,1136,1131,1127,1123,1119,1116,1112,1110,1106,1103,1101,1098,1095,1093,1091,1089,1087,1086,1084,1083,1082,1082,1082,1081,1081,1079,1079,1079,1079,1080,1081,1081,1082,1087,1086,1087,1090,1091,1095,1097,1100,1102,1105,1114,1112,1116,1120
this->parallel_for(&Particle_System::calculate_verlet_step_brute_force, this->number_of_particles);0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
this->parallel_for(&Particle_System::calculate_acceleration_brute_force, this->number_of_particles);679,684,684,683,683,683,681,678,675,671,669,665,660,657,654,652,647,644,644,636,632,627,623,620,617,615,612,609,606,603,599,596,593,590,588,585,583,580,578,576,574,572,570,568,567,565,564,563,562,562,561,561,560,560,559,559,559,559,559,560,560,561,566,564,565,567,568,570,572,575,576,578,581,583,587,589
this->parallel_for(&Particle_System::calculate_density_pressure_brute_force, this->number_of_particles);554,555,556,555,555,555,554,554,553,552,551,550,548,548,547,546,545,544,543,541,540,539,538,537,536,535,534,533,533,532,531,530,529,528,527,526,526,525,525,524,523,523,522,521,521,521,520,520,520,520,520,520,520,520,519,519,519,519,519,520,520,520,520,521,521,522,522,523,524,525,525,526,532,527,528,529
