function;execution_times
application_handler.simulation_handler.simulate();34,35,38,35,36,35,40,37,39,36,36,34,35,37,33,37,34,35,36,34,32,30,34,28,28,29,28,28,27,26,26,21,23,23,21,22,21,20,19,21,18,20,22,19,18,19,17,18,17,18,19,18,18,17,17,16,20,21,19,21,20,19,21,21,23,23,22,25,24,22,23,23,24,28,28,28,32,34,37,41,35,36,33,37,39,38,41,42,42,42,42,44,44,49,50,45,46,45,48,46,50,46,39,38,42,40,40,37,36,41,35,36,34,35,30,33,29,29,29,31,28,29,26,28,26,25,24,25,25,25,24,25,24,24,22,24,23,22,24,22,21,22,20,21,21,23,21,20,20,20,19,20,20,20,19,22,19,18,19,19,19,18,18,19,17,18,18,19,19,19,18,19,20,19,19,20,20,20,19,19,20,19,21,20,20,20,21,21,22,22,21,20,22,22,21,22,22,22,23,23,24,24,25,26,26,28,27,28,29,29,30,30,31,31,32,32,32,29,29,28,29,30,28,28,28,28,28,28,25,28,26,24,24,26,27,22,23,23,23,25,20,19,18,18,19,18,17,18,16,17,17,15,17,16,15,15,15,14,14,14,14,14,14,15,13,15,14,15,14,14,15,16,14,14,15,14,16,17,16,16,17,18,17,19,18,20,18,19,19,19,19,20,21,25,26,21,28,28,28,23,23,28,26,22,24,23,26,27,26,28,27,26,22,22,23,23
application_handler.visualization_handler.visualize();416,117,104,103,111,109,112,115,122,165,113,106,109,110,115,114,112,110,115,113,122,117,109,125,112,124,114,118,111,113,111,121,113,115,112,111,118,108,108,112,113,111,136,136,111,123,120,116,123,113,121,112,118,109,115,135,129,119,131,118,118,115,131,126,115,121,124,124,112,112,127,119,119,117,119,116,120,114,113,116,103,126,109,101,110,100,103,110,107,115,101,101,101,107,116,105,104,104,111,102,102,114,107,102,106,103,106,103,101,101,106,100,101,100,100,101,100,101,104,100,101,110,100,107,102,102,105,101,101,102,101,107,110,102,110,115,101,100,109,102,104,105,103,101,105,100,101,101,106,109,101,102,106,101,125,101,101,102,102,112,103,107,105,101,100,101,118,101,105,102,105,101,116,100,100,111,102,104,100,115,103,111,102,103,102,103,104,107,106,100,103,101,101,107,100,103,114,108,101,107,103,107,107,106,103,109,102,105,102,113,108,108,100,108,101,102,107,101,103,105,101,101,100,114,119,108,102,102,101,104,107,101,102,102,109,101,103,104,108,102,102,104,108,105,103,101,101,101,104,101,103,103,101,100,101,100,108,100,103,102,110,102,110,102,100,101,107,102,102,101,106,105,117,102,102,110,101,103,100,109,103,106,103,101,104,102,105,107,101,101,101,101,101,102,107,103,111,105,110,110,111,113,104,119,100,100,101,100,100,105,101,104,102,101,108,107
this->parallel_for_grid(&Particle_System::calculate_verlet_step_spatial_grid);0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
this->parallel_for_grid(&Particle_System::calculate_acceleration_spatial_grid);19,22,22,22,24,22,23,22,24,23,23,19,22,24,21,23,21,21,22,21,17,18,20,17,18,19,17,17,16,16,16,12,13,14,12,14,13,13,10,13,10,11,12,11,10,11,9,10,10,10,11,9,12,9,10,9,12,12,11,12,11,12,13,12,14,15,12,15,14,13,15,15,15,19,18,18,21,24,24,27,23,22,21,25,25,24,27,28,29,27,27,29,30,33,33,29,30,28,29,29,29,29,25,25,25,26,25,22,21,27,21,22,22,20,18,20,18,18,18,19,18,18,16,18,16,15,14,15,16,16,15,15,15,16,15,15,15,13,16,14,12,14,12,13,13,14,14,11,12,13,11,12,12,12,12,12,12,12,12,11,12,11,11,12,11,11,12,11,12,12,11,11,12,13,12,12,12,12,12,11,13,12,12,12,13,12,13,13,14,13,14,12,14,14,13,13,13,14,14,14,15,15,15,16,16,17,17,18,18,18,19,19,19,20,20,20,20,19,19,18,18,19,17,18,17,18,18,18,16,18,16,15,14,17,16,13,15,14,15,15,13,11,11,11,11,11,9,11,9,10,10,9,11,9,9,9,8,9,8,8,8,9,8,9,8,9,9,8,8,8,9,10,8,8,9,8,8,10,9,9,10,11,11,12,11,12,11,12,12,11,11,12,12,16,17,13,19,18,18,14,14,19,17,14,14,14,17,18,18,18,17,17,13,13,13,13
this->parallel_for_grid(&Particle_System::calculate_density_pressure_spatial_grid);14,11,15,11,11,12,16,14,14,12,12,14,11,12,11,14,12,13,12,12,13,11,14,10,10,9,10,10,9,9,9,7,9,9,8,7,7,6,8,7,7,7,9,7,6,7,7,6,6,6,7,8,6,6,6,6,7,8,7,8,8,6,7,7,7,7,8,8,9,8,8,7,8,8,9,9,10,9,11,13,11,13,11,11,14,13,13,13,12,14,13,14,14,15,16,15,15,15,18,15,20,15,13,12,16,13,14,14,14,13,12,14,11,14,11,12,10,11,10,12,10,10,9,9,9,9,9,9,8,8,8,9,8,8,7,8,7,9,7,7,8,8,7,7,7,8,6,7,7,7,7,7,7,7,7,8,6,6,6,7,7,6,6,6,6,6,6,7,6,6,6,7,7,6,6,7,7,7,7,7,6,6,8,7,7,7,7,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,9,9,9,9,10,10,9,10,9,9,10,8,9,9,9,8,9,9,8,7,8,7,8,7,7,6,6,7,6,7,6,5,6,6,5,5,6,5,5,5,5,6,5,5,4,5,5,5,5,5,6,5,5,5,6,5,5,5,5,6,5,6,6,6,6,6,6,6,6,6,6,7,7,7,8,7,8,8,7,8,8,8,8,9,8,8,8,9,8,9,8,7,9,8,8,8,8,9,9
