function;execution_times
application_handler.visualization_handler.visualize();56,14,16,9,10,16,1,1,21,13,9,17,9,9,1,9,9,9,1,0,10,1,10,10,9,0,10,1,10,9,9,1,10,9,9,0,9,17,9,8,16,8,8,0,8,0,8,0,7,0,7,0,7,0,7,0,7,0,6,0,6,0,5,1,2,12,14,2,10,13,0,11,13,0,12,0,12,14,0,12,15,0,13,1,12,15,1,13,16,1,13,1,13,17,1,13,16,2,14,2,14,17,8,8,0,3,5,0,8,0,8,0,9,0,8,0,8,9,9,0,8,0,8,0,8,0,8,1,8,0,8,0,9,1,9,9,9,1,9,9,9,0,9,8,9,17,8,8,16,8,9,0,7,0,7,0,7,0,6,0,5,0,5,0,3,0,2,0,0,0,1,0,2,11,0,10,13,0,9,13,0,10,0,2,3,0,0,0,11,0,10,15,0,10,14,1,10,1,12,14,0,12,15,0,13,1,13,15,1,14,16,2,14,2,14,16,2,14,17,8,9,17,17,3,14,1,9,9,9,0,9,17,9,8,0,9,17,17,17,17,17,17,1,0,2,6,0,2,5,0,7,1,6,0,5,0,4,0,4,1,3,0,3,0,1,0,1,0,0,0,17,0,9,0,8,13,0,9,14,0,9,0,9,14,0,9,13,0,11,0,11,13,0,11,14,0,11,15,0,11,1,12,14,1,14,15,1,13,0,13,15,1,13,15,1,13,1,13,15,0,12,15,0,12,1,13,15,0,12,14,0,12,1,12,16,0,13,16,1,14,1,14,16,1,13,16,1,13,0,11,14,0,10,14,0,10,1,9,13,0,10,4,9,0,13,1,12,3,11,1,13,1,11,0,12,0,13,1,13,1,13,0,13,1,13,1,13,1,13,1,13,2,12,1,14,2,14,16,2,14,2,13,3,14,17,0,2,14,17,0,17,0,1,17,1,0,10,1,0,10,1,0,10,14,9,2,7,1,10,1,1,9,1,0,10,1,0,10,1,0,9,0,0,2,5,0,2,5,0,0,4,0,0,3,0,4,0,4,0,4,0,4,0,4,1,4,0,4,0,0,2,0,4,0,0,2,0,0,3,0,0,3,0,0,3,0,0,5,0,0,5,0,0,5,0,7,0,7,0,7,0,7,0,7,0,6,0,7,0,7,0,7,0,10,14,16,2,14,16,8,8,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,6,0,7,0,8,0,7,0,8,0,8,0,8,0,9,0,9,0,9,9,9,0,10,1,10,10,9,1,10,1,10,10,10,0,11,1,10,10,10,0,11,1,10,10,10,1,10,10,9,0,10,0,9,9,9,0,9,0,8,0,8,0,7,0,6,0,6,0,5,0,4,0,4,0,4,0,3,0,4,0,4,0,4,0,4,0,5,0,5,0,5,0,5,0,5,0,4,0,6,0,6,0,6,1,6,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,6,0,6,0,7,0,7,0,7,0,6,0,7,0,7,0,7,0,7,0,7,0,7,1,7,0,8,0,8,0,8,0,9,0,9,0,9,0,9,9,9,0,10,1,10,9,10,0,10,1,10,10,10,0,11,1,10,10,10,0,11,1,10,9,9,0,10,1,4
application_handler.simulation_handler.simulate();8,7,7,7,7,8,6,7,7,7,7,7,7,6,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,7,7,7,7,7,7,7,8,8,7,8,7,8,8,8,7,8,8,8,8,8,8,8,8,9,9,9,9,12,12,10,10,10,10,11,10,10,11,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,8,8,9,9,9,7,8,8,8,8,8,7,7,7,7,7,7,7,7,8,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,8,8,8,8,8,8,8,9,9,9,9,9,10,10,11,10,11,11,11,11,12,12,11,11,10,11,11,10,11,11,11,12,11,10,11,11,11,10,11,10,9,11,11,10,10,10,9,10,10,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,8,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,8,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11,10,11,11,11,11,12,11,11,11,11,11,11,11,11,10,11,11,11,11,10,11,11,11,10,10,10,10,11,10,10,10,10,10,9,10,10,9,9,10,9,8,9,9,9,9,9,9,9,8,9,9,9,8,9,9,9,9,9,9,9,9,8,9,9,10,10,10,10,9,10,8,9,8,8,8,8,8,8,8,8,9,8,9,9,10,10,10,10,10,10,10,11,10,11,11,10,10,9,9,9,9,9,9,9,9,9,9,9,10,9,10,9,9,9,9,9,9,9,9,9,9,9,8,9,8,8,9,9,9,8,8,8,7,8,8,7,8,9,7,7,7,8,7,7,7,7,7,7,7,7,7,7,6,6,7,6,6,7,6,10,7,8,6,6,6,6,6,7,6,7,6,6,7,6,7,7,7,7,8,7,7,8,7,8,9,9,8,9,9,9,9,9,10,9,10,9,10,9,10,9,10,9,10,9,10,10,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,9,8,8,9,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,7,9,7,8,7,7,7,7,7,7,7,7,7,7,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,10,9,10,9,10,10,10,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,9,8,9,8,9,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,7,8,7,8,7,7,7,7,7,7,7,7,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,7,7
this->parallel_for(&Particle_System::calculate_verlet_step_brute_force, this->number_of_particles);0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
this->parallel_for(&Particle_System::calculate_acceleration_brute_force, this->number_of_particles);5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,5,5,4,4,5,4,4,4,4,5,5,5,5,5,5,8,7,6,6,6,6,7,7,6,7,7,6,6,6,6,6,6,6,6,5,5,6,6,5,6,5,5,5,5,5,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,5,4,5,4,5,5,5,5,6,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,7,6,7,7,6,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,6,7,7,7,6,6,6,6,7,6,6,6,6,6,6,6,6,5,6,6,6,5,5,5,6,6,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,5,5,6,6,6,6,6,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,7,6,6,6,6,6,7,7,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,4,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,6,3,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,4,5,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,5,4,5,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,5,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4
this->parallel_for(&Particle_System::calculate_density_pressure_brute_force, this->number_of_particles);2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,2,3,3,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,3,3,3,3,3,3,3,3,2,3,3,2,2,2,2,2,3,3,2,3,3,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,3,3,3,3,3,4,3,4,4,4,3,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,2,3,2,2,3,2,3,3,3,3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,4,3,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,2,2,2,3,3,2,3,2,2,2,3,2,3,2,2,2,3,2,2,3,2,2,3,2,3,3,3,2,3,2,2,3,3,2,3,2,2,3,2,2,3,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,2,2,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,2,3,2,3,2,3,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,2,3,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3
