function;execution_times
application_handler.simulation_handler.simulate();41,37,34,39,36,35,34,35,37,32,35,31,31,34,34,34,31,29,30,28,31,25,26,25,24,30,22,21,19,19,25,19,19,19,16,17,16,16,18,16,15,14,15,13,13,13,13,14,13,14,13,14,14,14,14,12,13,14,14,16,15,16,16,17,17,19,18,20,19,19,21,21,24,24,29,29,27,30,33,39,36,42,37,38,44,46,38,43,38,41,44,43,42,49,50,44,44,47,45,46,51,51,40,40,40,39,36,34,38,38,33,35,33,31,30,30,28,29,29,29,27,27,29,25,28,27,24,24,25,22,25,24,25,22,23
application_handler.visualization_handler.visualize();2436,887,843,815,764,783,768,778,788,770,778,776,763,774,789,778,782,777,784,778,778,776,774,770,770,787,783,772,768,768,778,770,780,789,774,776,791,778,797,768,774,767,806,774,783,780,798,765,792,780,782,771,785,832,768,772,792,780,769,814,776,797,766,771,772,768,781,764,785,777,794,775,799,797,771,800,784,773,766,768,786,775,768,763,781,763,759,794,785,803,796,764,774,780,782,805,794,772,780,758,768,773,786,766,784,776,783,770,785,764,802,802,764,766,772,768,784,784,787,789,787,770,791,765,778,776,772,780,773,803,777,785,770,774,798
this->parallel_for_grid(&Particle_System::calculate_verlet_step_spatial_grid);0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
this->parallel_for_grid(&Particle_System::calculate_acceleration_spatial_grid);26,23,19,23,20,22,19,20,23,19,22,19,19,21,21,21,19,18,17,17,18,14,15,15,14,18,13,12,11,11,14,11,11,11,10,10,9,9,11,9,9,8,8,7,8,8,7,7,7,8,7,8,7,7,8,7,7,8,8,9,8,9,10,10,10,11,11,11,12,11,12,13,15,14,18,19,16,18,21,25,22,27,25,25,29,30,23,28,25,26,29,27,27,31,33,27,28,28,29,29,32,32,26,25,27,25,24,21,23,23,20,23,20,20,18,20,17,17,18,18,18,17,18,16,18,18,14,13,15,13,15,15,15,13,14
this->parallel_for_grid(&Particle_System::calculate_density_pressure_spatial_grid);14,12,14,14,14,12,14,14,13,12,11,11,12,11,11,12,11,11,11,10,11,10,10,9,9,11,8,8,7,8,10,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,6,5,5,4,5,5,5,6,6,5,6,6,6,7,7,8,6,7,8,8,7,9,10,9,10,11,12,12,13,13,11,12,14,15,14,13,12,14,14,15,14,17,16,15,15,18,15,15,17,17,13,13,12,13,12,11,13,14,12,11,11,10,11,10,9,10,10,10,9,9,10,8,9,9,9,10,9,8,9,9,9,8,9
